"Perioden";"Regio's";"Bevolking/Bevolkingssamenstelling op 1 januari/Totale bevolking (aantal)";"Bevolking/Bevolkingssamenstelling op 1 januari/Bevolkingsdichtheid (aantal inwoners per km²)"
"2025";"Nederland";18044027;536
"2025";"Noord-Nederland (LD)";1773584;214
"2025";"Drenthe (PV)";506529;192
"2025";"Noord-Drenthe (CR)";197110;189
"2025";"Aa en Hunze";25935;94
"2025";"Aalburg";;
"2025";"Aalsmeer";33250;1654
"2025";"Aalten";27466;285
"2025";"Ter Aar";;
"2025";"Aarle-Rixtel";;
"2025";"Abcoude";;
"2025";"Achtkarspelen";28200;276
"2025";"Akersloot";;
"2025";"Alblasserdam";20242;2307
"2025";"Albrandswaard";26707;1233
"2025";"Alkemade";;
"2025";"Alkmaar";112896;1023
"2025";"Almelo";74776;1113
"2025";"Almere";229574;1777
"2025";"Alphen aan den Rijn";115773;919
"2025";"Alphen en Riel";;
"2025";"Alphen-Chaam";10539;113
"2025";"Altena";58726;294
"2025";"Ambt Delden";;
"2025";"Ambt Montfort";;
"2025";"Ameland";3800;67
"2025";"Amerongen";;
"2025";"Amersfoort";163298;2613
"2025";"Ammerzoden";;
"2025";"Amstelveen";95822;2331
"2025";"Amsterdam";934526;4968
"2025";"Andijk";;
"2025";"Angerlo";;
"2025";"Anloo";;
"2025";"Anna Paulowna";;
"2025";"Apeldoorn";168551;496
"2025";"Appingedam";;
"2025";"Arcen en Velden";;
"2025";"Arnemuiden";;
"2025";"Arnhem";169364;1733
"2025";"Assen";70392;860
"2025";"Asten";17385;248
"2025";"Avereest";;
"2025";"Axel";;
"2025";"Baarle-Nassau";7205;95
"2025";"Baarn";25184;774
"2025";"Bakel en Milheeze";;
"2025";"Barendrecht";48550;2480
"2025";"Barneveld";63152;359
"2025";"Bathmen";;
"2025";"Bedum";;
"2025";"Beek (L.)";16251;771
"2025";"Beek en Donk";;
"2025";"Beekdaelen";35824;458
"2025";"Beemster";;
"2025";"Beesel";13524;485
"2025";"Beilen";;
"2025";"Belfeld";;
"2025";"Bellingwedde";;
"2025";"Bemmel";;
"2025";"Bennebroek";;
"2025";"Berg en Dal";35558;412
"2025";"Bergambacht";;
"2025";"Bergeijk";19263;191
"2025";"Bergen (L.)";13062;127
"2025";"Bergen (NH.)";29722;300
"2025";"Bergen op Zoom";70194;878
"2025";"Bergeyk";;
"2025";"Bergh";;
"2025";"Bergschenhoek";;
"2025";"Berkel en Rodenrijs";;
"2025";"Berkel-Enschot";;
"2025";"Berkelland";43917;170
"2025";"Berlicum";;
"2025";"Bernheze";32606;363
"2025";"Bernisse";;
"2025";"Best";31652;934
"2025";"Beuningen";26749;613
"2025";"Beverwijk";43040;2345
"2025";"het Bildt";;
"2025";"De Bilt";43792;662
"2025";"Binnenmaas";;
"2025";"Bladel";21006;279
"2025";"Bladel en Netersel";;
"2025";"Blaricum";12947;1169
"2025";"Bleiswijk";;
"2025";"Bloemendaal";23592;593
"2025";"Boarnsterhim";;
"2025";"Bodegraven";;
"2025";"Bodegraven-Reeuwijk";37209;493
"2025";"Boekel";11465;332
"2025";"Ten Boer";;
"2025";"Bolsward";;
"2025";"Borculo";;
"2025";"Borger";;
"2025";"Borger-Odoorn";26049;95
"2025";"Born";;
"2025";"Borne";24741;952
"2025";"Borsele";23125;163
"2025";"Boskoop";;
"2025";"Boxmeer";;
"2025";"Boxtel";34241;496
"2025";"Brakel";;
"2025";"Breda";188779;1502
"2025";"Brederwiede";;
"2025";"Breukelen";;
"2025";"Brielle";;
"2025";"Broekhuizen";;
"2025";"Bronckhorst";36012;127
"2025";"Brouwershaven";;
"2025";"Bruinisse";;
"2025";"Brummen";21394;256
"2025";"Brunssum";27534;1597
"2025";"Budel";;
"2025";"Bunnik";16279;441
"2025";"Bunschoten";22684;746
"2025";"Buren";27978;209
"2025";"Bussum";;
"2025";"Capelle aan den IJssel";68624;4852
"2025";"Castricum";36618;738
"2025";"Chaam";;
"2025";"Coevorden";35860;121
"2025";"Cothen";;
"2025";"Cranendonck";21665;283
"2025";"Cromstrijen";;
"2025";"Cuijk";;
"2025";"Culemborg";30281;1034
"2025";"Dalen";;
"2025";"Dalfsen";30047;182
"2025";"Dantumadeel";;
"2025";"Dantumadiel";19137;226
"2025";"Delft";110173;4861
"2025";"Delfzijl";;
"2025";"Denekamp";;
"2025";"Deurne";33387;286
"2025";"Deventer";104301;799
"2025";"Didam";;
"2025";"Diemen";33228;2781
"2025";"Diepenheim";;
"2025";"Diepenveen";;
"2025";"Diessen";;
"2025";"Diever";;
"2025";"Dijk en Waard";90747;1466
"2025";"Dinkelland";26728;152
"2025";"Dinteloord en Prinsenland";;
"2025";"Dinxperlo";;
"2025";"Dirksland";;
"2025";"Dodewaard";;
"2025";"Doesburg";11125;962
"2025";"Doetinchem";60049;760
"2025";"Domburg";;
"2025";"Dongen";27495;941
"2025";"Dongeradeel";;
"2025";"Doorn";;
"2025";"Dordrecht";122796;1583
"2025";"Drechterland";20476;348
"2025";"Driebergen-Rijsenburg";;
"2025";"Drimmelen";28295;298
"2025";"Dronten";44856;134
"2025";"Drunen";;
"2025";"Druten";19748;526
"2025";"Duiveland";;
"2025";"Duiven";24942;736
"2025";"Den Dungen";;
"2025";"Dussen";;
"2025";"Dwingeloo";;
"2025";"Echt";;
"2025";"Echteld";;
"2025";"Echt-Susteren";32269;313
"2025";"Edam-Volendam";37140;684
"2025";"Ede";124214;390
"2025";"Eelde";;
"2025";"Eemnes";9927;320
"2025";"Eemsdelta";44795;167
"2025";"Eemsmond";;
"2025";"Eersel";20389;247
"2025";"Egmond";;
"2025";"Eibergen";;
"2025";"Eijsden";;
"2025";"Eijsden-Margraten";26181;338
"2025";"Eindhoven";249035;2829
"2025";"Elburg";23903;375
